id_aluno,idade,sexo,renda_familiar,escolaridade_mae,turno,trabalha,acesso_internet,computador_casa,transporte_escolar,distancia_escola_km,frequencia_percent,faltas,atrasos,horas_estudo_dia,participacao_aulas,atividades_entregues_percent,apoio_familiar,reprovacoes_anteriores,nota_matematica,nota_portugues,nota_ciencias,nota_humanas,media,situacao_final,split_sugerido
409,15,M,media,medio,Tarde,Nao,Sim,Sim,Nao,2.9,96.0,7,7,2.4,73.5,80.9,69.9,0,7.0,7.4,5.9,7.3,6.9,Aprovado,teste
414,16,M,alta,fundamental,Manha,Sim,Sim,Sim,Nao,6.4,60.6,19,10,0.7,32.8,73.4,31.5,2,3.2,4.9,4.5,5.1,4.43,Reprovado,teste
423,14,F,alta,fundamental,Manha,Nao,Nao,Sim,Sim,4.0,80.8,7,9,2.4,78.9,100.0,40.1,0,6.3,8.3,7.0,7.5,7.28,Aprovado,teste
430,16,F,media,medio,Noite,Sim,Nao,Nao,Nao,6.4,67.4,35,8,0.1,77.4,69.7,48.0,2,3.6,5.5,2.0,4.4,3.88,Reprovado,teste
452,16,M,baixa,fundamental,Manha,Nao,Sim,Sim,Sim,4.1,65.9,22,18,0.6,77.9,36.5,75.1,0,6.0,7.2,5.4,7.3,6.48,Reprovado,teste
453,15,M,media,medio,Manha,Nao,Sim,Nao,Sim,5.0,75.2,11,7,0.8,50.3,51.3,49.9,3,5.7,5.0,7.1,5.2,5.75,Reprovado,teste
454,16,M,media,medio,Noite,Nao,Sim,Nao,Nao,2.6,83.0,10,6,1.7,72.5,89.0,68.1,0,6.9,7.8,6.5,8.9,7.52,Aprovado,teste
468,18,F,media,fundamental,Noite,Nao,Nao,Nao,Sim,8.1,47.8,17,14,0.8,49.7,45.9,2.1,1,7.9,6.0,6.1,2.6,5.65,Reprovado,teste
479,14,M,media,medio,Noite,Sim,Sim,Sim,Sim,8.1,75.2,17,2,2.2,75.5,99.1,47.2,0,6.3,8.3,6.7,7.6,7.22,Aprovado,teste
480,16,F,media,fundamental,Manha,Sim,Sim,Nao,Nao,3.4,61.3,2,6,,91.4,80.6,65.7,1,5.9,6.6,6.2,8.7,6.85,Aprovado,teste
533,16,F,media,fundamental,Tarde,Nao,Sim,Nao,Sim,4.0,79.9,6,7,1.9,96.2,96.2,59.8,1,10.0,6.7,7.4,9.9,8.5,Aprovado,teste
536,14,M,alta,fundamental,Manha,Nao,Nao,Nao,Nao,1.1,81.8,6,5,3.9,58.2,74.2,43.0,0,8.8,5.6,6.0,8.2,7.15,Aprovado,teste
543,16,F,media,medio,Manha,Nao,Sim,Sim,Sim,4.9,56.8,25,2,1.5,70.6,76.9,37.1,2,6.7,3.7,6.9,5.7,5.75,Reprovado,teste
557,15,F,baixa,medio,Manha,Nao,Sim,Nao,Sim,3.8,98.9,12,2,2.8,73.2,95.2,71.3,1,7.2,7.7,8.9,5.8,7.4,Reprovado,teste
562,16,F,media,fundamental,Tarde,Nao,Sim,Sim,Sim,4.3,73.2,12,0,1.8,69.2,99.0,88.9,0,6.8,8.4,8.1,6.0,7.32,Aprovado,teste
571,14,M,alta,medio,Manha,Nao,Sim,Nao,Sim,5.1,98.6,14,5,2.2,71.5,80.3,43.1,0,6.2,6.9,6.7,5.6,6.35,Aprovado,teste
575,15,M,baixa,medio,Manha,Nao,Sim,Sim,Sim,4.3,68.5,2,20,2.3,61.3,64.7,65.4,2,2.9,4.2,2.1,6.1,3.82,Reprovado,teste
577,16,F,media,medio,Tarde,Nao,Nao,Sim,Sim,5.7,62.7,22,15,1.6,67.0,63.8,80.9,1,4.7,4.7,5.1,5.3,4.95,Reprovado,teste
592,14,M,baixa,fundamental,Noite,Nao,Nao,Sim,Sim,0.2,86.5,6,9,1.9,89.4,93.5,61.3,2,10.0,7.8,8.4,8.1,8.58,Aprovado,teste
598,15,F,baixa,fundamental,Noite,Nao,Sim,Nao,Sim,2.5,73.3,10,2,2.5,85.8,84.2,59.7,0,8.0,8.2,7.8,7.6,7.9,Aprovado,teste
608,16,M,baixa,medio,Tarde,Nao,Sim,Nao,Nao,3.8,82.2,12,6,3.4,69.2,100.0,86.6,0,6.3,9.7,6.2,7.5,7.42,Aprovado,teste
614,18,M,baixa,medio,Tarde,Sim,Sim,Sim,Nao,8.2,60.0,27,15,1.9,24.9,49.8,33.4,0,3.7,6.9,5.2,3.8,4.9,Reprovado,teste
618,18,F,media,fundamental,Noite,Nao,Sim,Sim,Sim,6.9,75.0,14,7,1.7,63.1,84.6,74.0,1,5.3,7.6,9.3,7.9,7.52,Aprovado,teste
621,15,M,media,fundamental,Noite,Nao,Sim,Nao,Sim,2.9,61.5,25,9,0.8,100.0,44.9,47.7,1,6.3,7.2,6.4,4.3,6.05,Reprovado,teste
624,15,M,media,fundamental,Manha,Nao,Nao,Sim,Nao,0.4,81.9,9,4,2.1,71.1,81.6,57.2,0,6.4,8.2,7.5,7.7,7.45,Aprovado,teste
627,16,M,media,medio,Manha,Nao,Sim,Sim,Sim,7.3,80.5,22,8,1.2,55.8,49.0,67.9,2,4.5,5.7,6.4,2.5,4.78,Reprovado,teste
640,18,F,baixa,medio,Tarde,Sim,Sim,Sim,Sim,8.2,78.1,15,8,1.6,61.8,70.7,,0,5.8,5.5,6.6,6.8,6.18,Reprovado,teste
645,15,F,media,medio,Tarde,Nao,Sim,Sim,Nao,3.1,86.4,15,14,2.9,80.7,87.5,66.9,0,7.6,7.8,7.2,7.0,7.4,Aprovado,teste
658,17,M,media,fundamental,Manha,Nao,Sim,Sim,Nao,1.5,91.0,6,1,0.8,74.0,84.8,67.9,2,9.9,6.6,5.7,8.7,7.72,Aprovado,teste
665,16,F,alta,fundamental,Noite,Nao,Nao,Nao,Sim,0.2,100.0,8,9,0.4,90.4,89.8,65.4,0,8.4,9.2,9.3,7.0,8.48,Aprovado,teste
692,17,M,media,medio,Manha,Nao,Sim,Sim,Nao,4.2,83.2,21,5,0.5,65.7,64.5,64.2,1,7.3,5.3,7.6,5.7,6.48,Reprovado,teste
695,17,F,baixa,fundamental,Tarde,Nao,Sim,Sim,Nao,6.1,73.7,22,12,1.2,30.0,86.3,55.6,1,3.5,3.8,5.2,6.8,4.82,Reprovado,teste
704,15,M,baixa,superior,Tarde,Nao,Sim,Sim,Nao,7.4,70.7,12,6,1.4,64.4,44.5,58.2,1,3.6,6.2,6.3,4.0,5.03,Reprovado,teste
718,16,M,baixa,fundamental,Tarde,Nao,Nao,Nao,Nao,0.7,85.1,19,11,1.2,94.8,92.1,72.0,0,7.8,8.0,6.9,7.5,7.55,Reprovado,teste
729,17,F,baixa,medio,Manha,Nao,Sim,Sim,Nao,3.9,74.4,8,8,3.3,77.6,90.2,66.1,0,7.2,7.4,3.7,8.4,6.68,Aprovado,teste
742,16,F,media,medio,Manha,Nao,Sim,Sim,Sim,3.7,86.9,8,5,0.9,88.8,85.3,67.7,1,9.2,7.3,7.8,6.7,7.75,Aprovado,teste
747,16,M,baixa,medio,Manha,Nao,Sim,Sim,Sim,4.6,82.8,3,0,0.2,80.9,65.8,94.3,0,9.2,7.1,7.9,7.7,7.97,Aprovado,teste
754,15,F,media,fundamental,Tarde,Nao,Sim,Nao,Nao,1.1,78.9,3,3,2.4,66.8,98.7,83.7,0,8.1,6.9,6.6,7.4,7.25,Aprovado,teste
763,18,F,alta,fundamental,Noite,Nao,Nao,Nao,Nao,2.4,85.4,14,5,,94.3,97.2,58.2,0,8.8,6.0,7.7,7.8,7.58,Reprovado,teste
775,15,F,baixa,superior,Manha,Nao,Nao,Sim,Nao,2.6,86.1,8,6,3.2,79.9,98.5,60.2,0,8.4,7.6,7.6,9.0,8.15,Aprovado,teste
784,16,F,baixa,medio,Manha,Nao,Sim,Nao,Nao,5.8,80.7,5,5,2.0,89.6,83.3,66.0,1,6.8,6.8,7.4,8.1,7.28,Aprovado,teste
793,16,F,baixa,superior,Noite,Nao,Sim,Sim,Nao,5.9,79.4,4,8,1.6,88.6,84.7,89.4,1,7.5,7.4,6.4,6.9,7.05,Aprovado,teste
796,17,M,baixa,superior,Manha,Nao,Sim,Nao,Nao,3.6,71.0,11,8,3.6,83.7,85.2,86.0,0,8.5,7.8,8.7,7.6,8.15,Aprovado,teste
798,16,F,media,fundamental,Manha,Nao,Sim,Sim,Sim,3.2,83.4,19,7,1.3,97.8,87.3,83.4,0,7.7,6.6,7.1,8.6,7.5,Aprovado,teste
803,15,F,baixa,fundamental,Tarde,Nao,Sim,Sim,Nao,2.8,75.6,20,9,0.7,46.5,44.5,19.6,1,5.6,6.8,4.1,3.0,4.88,Reprovado,teste
809,16,M,alta,medio,Noite,Nao,Sim,Nao,Sim,4.8,77.3,14,14,2.5,100.0,65.8,88.8,0,7.1,,7.6,7.5,7.38,Aprovado,teste
812,15,M,baixa,fundamental,Tarde,Nao,Nao,Sim,Nao,2.8,80.3,12,3,2.6,86.9,75.9,90.6,0,7.1,6.1,5.4,8.2,6.7,Aprovado,teste
828,17,F,media,medio,Tarde,Sim,Sim,Nao,Sim,5.4,65.8,0,4,2.4,94.4,89.1,72.0,0,6.5,8.5,6.5,6.1,6.9,Aprovado,teste
830,18,F,baixa,medio,Manha,Nao,Sim,Sim,Nao,4.0,88.6,6,9,2.8,74.9,74.7,88.4,0,7.3,7.2,5.9,7.1,6.88,Aprovado,teste
831,16,F,alta,medio,Manha,Nao,Sim,Sim,Nao,1.2,82.7,4,0,1.4,84.0,68.2,72.0,0,7.3,7.5,8.0,8.9,7.93,Aprovado,teste
835,16,F,baixa,fundamental,Noite,Sim,Sim,Nao,Nao,5.7,56.9,14,20,1.0,66.6,54.1,68.5,0,6.6,4.6,4.5,6.4,5.52,Reprovado,teste
842,16,F,baixa,medio,Noite,Sim,Nao,Nao,Sim,6.3,67.3,7,20,0.9,76.7,78.3,74.9,1,5.0,4.5,5.2,3.5,4.55,Reprovado,teste
850,19,M,baixa,fundamental,Tarde,Nao,Sim,Sim,Sim,2.1,53.7,32,11,0.8,67.0,63.2,,0,3.8,5.6,7.1,4.3,5.2,Reprovado,teste
851,15,M,baixa,fundamental,Tarde,Nao,Sim,Sim,Nao,6.9,76.7,17,8,2.6,78.2,74.7,71.1,0,7.0,8.3,5.7,7.0,7.0,Aprovado,teste
853,19,F,media,fundamental,Noite,Sim,Sim,Nao,Sim,4.7,49.7,19,13,0.4,56.8,38.5,55.5,2,5.6,5.0,3.9,6.5,5.25,Reprovado,teste
854,17,F,media,superior,Tarde,Nao,Sim,Sim,Nao,2.7,75.7,16,15,1.9,84.8,67.8,69.4,0,6.4,7.0,3.4,4.3,5.28,Reprovado,teste
855,14,M,baixa,fundamental,Manha,Nao,Sim,Nao,Sim,4.1,92.1,16,1,2.0,85.4,100.0,90.2,0,8.7,8.8,7.6,7.4,8.12,Aprovado,teste
861,16,M,media,fundamental,Tarde,Nao,Nao,Sim,Sim,9.1,72.4,8,14,0.0,30.7,31.2,61.2,0,6.8,4.5,6.0,5.7,5.75,Reprovado,teste
863,17,F,alta,fundamental,Manha,Nao,Sim,Sim,Nao,6.6,48.2,10,13,1.2,61.1,46.4,52.8,0,2.0,8.1,5.3,5.2,5.15,Reprovado,teste
871,14,M,baixa,superior,Manha,Sim,Sim,Sim,Nao,6.9,68.7,22,13,2.6,44.2,24.3,73.7,0,3.2,4.1,5.1,6.0,4.6,Reprovado,teste
889,17,M,alta,medio,Tarde,Nao,Sim,Sim,Sim,2.5,81.6,10,0,2.5,73.5,79.8,66.4,0,8.6,6.8,7.4,7.5,7.57,Aprovado,teste
895,14,M,media,medio,Tarde,Nao,Sim,Nao,Nao,4.1,72.6,4,12,2.3,65.0,65.4,34.5,1,6.7,6.2,2.9,2.5,4.58,Aprovado,teste
898,16,M,baixa,fundamental,Manha,Nao,Sim,Nao,Nao,3.5,93.3,6,1,1.7,84.1,90.3,67.0,0,7.1,6.6,7.6,7.8,7.28,Aprovado,teste
904,16,M,media,superior,Tarde,Nao,Sim,Nao,Sim,3.6,82.8,13,4,2.4,81.7,59.2,71.7,0,5.9,7.6,8.9,8.3,7.68,Aprovado,teste
913,18,F,alta,medio,Tarde,Nao,Nao,Sim,Nao,6.2,84.8,14,18,0.0,56.6,82.1,73.6,0,7.4,4.2,7.2,6.7,6.38,Aprovado,teste
923,14,F,alta,medio,Manha,Nao,Sim,Sim,Sim,4.4,91.1,1,0,3.3,99.4,87.4,59.3,0,6.9,6.6,5.6,6.9,6.5,Aprovado,teste
930,18,M,alta,superior,Manha,Sim,Nao,Sim,Nao,8.3,60.6,12,8,0.6,82.5,100.0,81.9,0,5.2,6.3,6.9,3.4,5.45,Reprovado,teste
944,14,M,baixa,medio,Tarde,Nao,Nao,Nao,Nao,2.5,78.2,0,11,2.7,89.4,80.8,88.1,0,6.4,7.4,10.0,8.0,7.95,Aprovado,teste
947,17,F,baixa,medio,Tarde,Nao,Sim,Sim,Sim,4.1,60.7,14,18,1.2,66.2,64.0,29.0,3,4.5,4.7,5.1,5.4,4.92,Reprovado,teste
949,15,F,alta,medio,Manha,Sim,Sim,Nao,Nao,4.0,57.2,22,8,0.3,55.8,51.7,61.4,1,3.9,6.7,6.3,3.6,5.12,Reprovado,teste
954,15,M,alta,medio,Manha,Nao,Sim,Sim,Nao,1.4,86.9,11,0,1.8,87.2,94.3,57.7,0,7.4,7.3,6.6,7.8,7.28,Aprovado,teste
956,17,F,baixa,fundamental,Tarde,Nao,Sim,Sim,Nao,4.5,61.7,21,19,1.2,73.3,84.1,47.8,2,5.5,5.4,6.8,5.5,5.8,Reprovado,teste
963,17,M,media,fundamental,Manha,Nao,Sim,Sim,Nao,2.2,85.7,6,8,2.8,78.7,98.3,70.9,0,6.8,8.2,7.2,9.1,7.82,Aprovado,teste
968,17,F,alta,medio,Manha,Nao,Nao,Nao,Sim,3.7,80.1,19,7,2.5,94.2,77.1,67.0,0,6.8,6.3,7.5,8.5,7.28,Aprovado,teste
977,15,M,baixa,fundamental,Noite,Nao,Sim,Sim,Sim,1.5,82.9,9,4,2.3,76.2,85.9,69.2,0,,8.5,6.7,7.5,7.02,Aprovado,teste
982,16,F,media,fundamental,Manha,Nao,Sim,Nao,Sim,5.7,65.2,5,12,0.0,73.6,73.1,23.3,2,7.6,6.0,5.2,4.7,5.88,Reprovado,teste
988,15,F,baixa,medio,Noite,Nao,Nao,Nao,Nao,5.3,89.5,4,11,2.5,66.5,87.2,75.8,1,6.7,9.3,7.6,7.6,7.8,Aprovado,teste
1005,16,F,alta,fundamental,Tarde,Nao,Nao,Nao,Nao,4.2,91.6,0,9,2.1,78.7,78.2,94.2,0,7.3,7.3,5.9,7.9,7.1,Aprovado,teste
1010,15,F,baixa,superior,Manha,Sim,Sim,Nao,Nao,3.7,91.2,3,5,3.1,98.2,89.4,97.9,0,8.5,6.9,8.5,7.4,7.82,Aprovado,teste
1012,16,M,baixa,medio,Tarde,Nao,Sim,Nao,Sim,4.9,77.2,15,0,1.9,100.0,79.3,57.5,0,7.6,8.1,9.2,7.9,8.2,Reprovado,teste
1026,16,F,media,superior,Tarde,Nao,Sim,Nao,Sim,2.0,85.1,8,4,1.3,95.9,99.0,66.0,0,6.1,6.6,6.9,7.4,6.75,Aprovado,teste
1044,16,M,media,medio,Manha,Nao,Sim,Sim,Nao,10.0,77.8,28,13,1.1,35.0,44.2,79.2,2,6.7,6.1,4.7,4.1,5.4,Reprovado,teste
1046,17,M,baixa,fundamental,Tarde,Nao,Sim,Sim,Nao,1.0,90.0,10,6,2.5,89.2,79.6,66.2,0,8.9,8.5,8.0,5.4,7.7,Reprovado,teste
1047,16,M,media,medio,Noite,Nao,Sim,Sim,Nao,2.0,83.8,16,7,3.5,93.2,83.6,98.3,0,7.3,7.5,7.9,8.2,7.72,Aprovado,teste
1055,15,F,media,medio,Tarde,Nao,Sim,Sim,Nao,3.4,79.8,0,9,3.5,73.5,82.5,86.6,0,6.6,6.3,7.3,6.6,6.7,Aprovado,teste
1060,15,M,baixa,medio,Manha,Sim,Sim,Sim,Nao,3.4,59.5,11,10,2.1,62.5,61.1,92.1,0,4.2,6.3,4.9,4.8,5.05,Aprovado,teste
1062,18,M,alta,superior,Tarde,Nao,Nao,Sim,Nao,3.4,78.8,10,0,0.7,86.2,80.2,95.4,0,5.0,8.4,8.6,4.6,6.65,Aprovado,teste
1067,15,M,alta,medio,Tarde,Nao,Sim,Nao,Nao,3.9,74.8,19,7,3.4,88.4,76.4,73.6,0,6.0,6.8,7.6,8.1,7.12,Aprovado,teste
1070,16,M,media,fundamental,Tarde,Nao,Nao,Nao,Nao,1.2,86.1,12,1,2.6,94.4,80.6,99.6,0,7.9,6.5,8.4,8.4,7.8,Reprovado,teste
1072,16,F,baixa,fundamental,Tarde,Nao,Sim,Sim,Nao,0.2,85.4,3,11,1.9,77.0,97.1,80.9,0,4.7,8.8,7.8,8.0,7.32,Aprovado,teste
1076,17,M,media,superior,Tarde,Nao,Sim,Sim,Nao,5.1,74.0,7,3,1.7,100.0,82.1,96.4,0,7.9,8.6,7.3,8.6,8.1,Aprovado,teste
1086,18,M,media,fundamental,Tarde,Nao,Sim,Nao,Sim,6.3,61.3,19,3,1.4,74.6,43.7,29.7,1,4.7,5.4,4.3,6.9,5.33,Reprovado,teste
